Date,Close,Dividend
2025-10-02,22.53,0
2025-10-01,22.41,0
2025-09-30,22.12,0
2025-09-29,21.94,0
2025-09-26,21.94,0
2025-09-25,21.38,0
2025-09-24,21.34,0
2025-09-23,21.55,0
2025-09-22,21.45,0
2025-09-19,20.94,0
2025-09-18,21.25,0
2025-09-17,21.28,0
2025-09-16,21.01,0.45
2025-09-15,21.41,0
2025-09-12,20.94,0
2025-09-11,20.98,0
2025-09-10,21.06,0
2025-09-09,19.72,0
2025-09-08,20.31,0
2025-09-05,20.03,0
2025-09-04,19.95,0
2025-09-03,19.47,0
2025-09-02,19.51,0
2025-09-01,20.42,0
2025-08-29,20.54,0
2025-08-28,20.49,0
2025-08-27,20.47,0
2025-08-26,20.83,0
2025-08-25,21.42,0
2025-08-22,21.89,0
2025-08-21,21.41,0
2025-08-20,21.38,0
2025-08-19,21.75,0
2025-08-18,21.15,0
2025-08-15,21.78,0
2025-08-14,21.48,0
2025-08-13,21.50,0
2025-08-12,21.18,0
2025-08-11,21.04,0
2025-08-08,21.18,0
2025-08-07,20.96,0
2025-08-06,20.06,0
2025-08-05,20.11,0
2025-08-04,19.89,0
2025-08-01,19.83,0
2025-07-31,20.64,0
2025-07-30,20.76,0
2025-07-29,20.91,0
2025-07-28,21.28,0
2025-07-25,22.00,0
2025-07-24,22.07,0
2025-07-23,22.23,0
2025-07-22,20.98,0
2025-07-21,21.00,0
2025-07-18,20.82,0
2025-07-17,20.03,0
2025-07-16,19.64,0
2025-07-15,19.97,0
2025-07-14,19.66,0
2025-07-11,20.01,0
2025-07-10,20.31,0
2025-07-09,20.18,0
2025-07-08,19.75,0
2025-07-07,19.43,0
2025-07-04,19.14,0
2025-07-03,19.09,0
2025-07-02,19.64,0
2025-07-01,19.33,0
2025-06-30,19.80,0
2025-06-27,19.94,0
2025-06-26,19.56,0
2025-06-25,19.72,0
2025-06-24,19.81,0
2025-06-23,18.40,0
2025-06-20,18.43,0
2025-06-19,18.29,0
2025-06-18,18.66,0
2025-06-17,18.64,0
2025-06-16,18.91,0
2025-06-13,18.85,0
2025-06-12,19.13,0
2025-06-11,19.05,0
2025-06-10,18.89,0
2025-06-09,18.67,0
2025-06-06,18.90,0
2025-06-05,19.06,0
2025-06-04,19.54,0
2025-06-03,19.44,0
2025-06-02,19.46,0
2025-05-30,19.91,0
2025-05-29,20.34,0
2025-05-28,19.65,0
2025-05-27,19.69,0
2025-05-26,19.13,0
2025-05-23,18.48,0
2025-05-22,18.71,0
2025-05-21,18.97,0
2025-05-20,19.01,0
2025-05-19,18.75,0
2025-05-16,19.21,0
2025-05-15,19.52,0
2025-05-14,18.76,0
2025-05-13,22.68,0
2025-05-12,22.41,0
2025-05-09,22.11,0
2025-05-08,21.95,0
2025-05-07,21.35,0
2025-05-06,21.68,0
2025-05-05,21.53,0
2025-05-02,21.31,0
2025-04-30,21.22,0
2025-04-29,20.73,0
2025-04-28,20.75,0
2025-04-25,20.73,0
2025-04-24,20.35,0
2025-04-23,20.10,0
2025-04-22,19.73,0
2025-04-17,19.39,0
2025-04-16,19.81,0
2025-04-15,19.87,0
2025-04-14,19.33,0
2025-04-11,18.49,0
2025-04-10,18.21,0
2025-04-09,17.37,0
2025-04-08,17.89,0
2025-04-07,17.19,0
2025-04-04,18.33,0
2025-04-03,19.76,0
2025-04-02,19.95,0
2025-04-01,20.00,0
2025-03-31,20.38,0
2025-03-28,20.85,0
2025-03-27,21.59,0
2025-03-26,21.25,0
2025-03-25,21.97,0
2025-03-24,22.11,0
2025-03-21,23.52,0
2025-03-20,23.77,0
2025-03-19,25.13,0
2025-03-18,25.45,0
2025-03-17,24.27,0
2025-03-14,23.88,0
2025-03-13,23.35,0
2025-03-12,23.13,0
2025-03-11,22.90,0
2025-03-10,23.18,0
2025-03-07,24.26,0
2025-03-06,26.02,0
2025-03-05,23.16,0
2025-03-04,20.12,0
2025-03-03,21.10,0
2025-02-28,21.08,0
2025-02-27,20.70,0
2025-02-26,20.91,0
2025-02-25,20.07,0
2025-02-24,19.82,0
2025-02-21,20.09,0
2025-02-20,20.32,0
2025-02-19,20.31,0
2025-02-18,20.67,0
2025-02-17,20.59,0
2025-02-14,20.28,0
2025-02-13,20.37,0
2025-02-12,20.54,0
2025-02-11,21.10,0
2025-02-10,20.38,0
2025-02-07,20.26,0
2025-02-06,19.85,0
2025-02-05,19.21,0
2025-02-04,19.11,0
2025-02-03,19.06,0
2025-01-31,19.12,0
2025-01-30,19.25,0
2025-01-29,19.19,0
2025-01-28,19.11,0
